file_id,ContainerIdentifier,SeriesInstanceUID,series_aws_url
GTEX-13FXS-2626,GTEX-13FXS-2625,1.3.6.1.4.1.5962.99.1.2101663766.2013883636.1720088614934.4.0,s3://idc-open-data/525e1aa6-8b27-4111-8ff3-c4b2e58c81de/*
GTEX-15DYW-0726,GTEX-15DYW-0725,1.3.6.1.4.1.5962.99.1.2195475946.1072416154.1720182427114.4.0,s3://idc-open-data/a52414d8-5445-4d47-8e2c-d487fc0829b5/*
GTEX-144GN-1826,GTEX-144GN-1825,1.3.6.1.4.1.5962.99.1.2291471316.262330593.1720278422484.4.0,s3://idc-open-data/cf459042-da7b-4291-8d41-daf707b44887/*
GTEX-11EM3-0726,GTEX-11EM3-0725,1.3.6.1.4.1.5962.99.1.2447454852.442480545.1720434406020.4.0,s3://idc-open-data/fce961f3-08fb-462a-84b5-e1e487b65df5/*
GTEX-13OW7-0626,GTEX-13OW7-0625,1.3.6.1.4.1.5962.99.1.1968181629.2032132806.1719955132797.4.0,s3://idc-open-data/400d1da5-92a5-40ac-b4f8-6c9a13941ab1/*
GTEX-1A3MV-2026,GTEX-1A3MV-2025,1.3.6.1.4.1.5962.99.1.2275811581.1812286442.1720262762749.4.0,s3://idc-open-data/0be699b2-b0a9-408d-9d8d-1203e22ed1ec/*
GTEX-11DYG-2326,GTEX-11DYG-2325,1.3.6.1.4.1.5962.99.1.2032404633.1907095566.1720019355801.4.0,s3://idc-open-data/e87e5414-a46f-44de-86b4-a34f5b5203b4/*
GTEX-X8HC-1026,GTEX-X8HC-1025,1.3.6.1.4.1.5962.99.1.2178774752.233812434.1720165725920.4.0,s3://idc-open-data/644e98d1-24b6-4809-acc7-b3775fe32da2/*
GTEX-1JJ6O-0426,GTEX-1JJ6O-0425,1.3.6.1.4.1.5962.99.1.1964284342.699679504.1719951235510.4.0,s3://idc-open-data/3e267cfd-c46b-4161-975d-f83cc1e19450/*
GTEX-1POEN-2026,GTEX-1POEN-2025,1.3.6.1.4.1.5962.99.1.2369695908.2110811429.1720356647076.4.0,s3://idc-open-data/c5ddca0f-f0e8-4940-8fa1-4a160f549a42/*
GTEX-15EOM-2626,GTEX-15EOM-2625,1.3.6.1.4.1.5962.99.1.2472329459.1154603160.1720459280627.4.0,s3://idc-open-data/0e73a8c8-9b24-4d30-8398-c9502faf3a72/*
GTEX-1HR9M-1126,GTEX-1HR9M-1125,1.3.6.1.4.1.5962.99.1.2412973702.2055107803.1720399924870.4.0,s3://idc-open-data/b8bf64b3-ea79-45f5-9b81-513a22b3b73d/*
GTEX-13N1W-0426,GTEX-13N1W-0425,1.3.6.1.4.1.5962.99.1.2191614627.1959703766.1720178565795.4.0,s3://idc-open-data/a42ed997-3e84-418f-a6c5-948853d95e0a/*
GTEX-15TU5-2526,GTEX-15TU5-2525,1.3.6.1.4.1.5962.99.1.2121834559.617704797.1720108785727.4.0,s3://idc-open-data/69f40920-dba7-43df-822d-79d212730803/*
